	C1.1	C1.2	C1.3	C1.4	C1.5	C2.1	C2.2	C2.3	C2.4	C2.5
Gene_1376	128	130	142	119	120	116	121	113	115	137
Gene_1377	863	1026	943	820	905	976	831	827	830	833
Gene_1378	4	2	2	1	2	1	3	3	3	3
Gene_1379	400	375	429	374	396	408	415	364	400	356
Gene_1380	119	107	105	107	74	102	112	110	127	130
Gene_1381	227	436	293	264	301	309	334	335	350	370
Gene_1382	13	16	7	11	16	5	14	11	5	8
Gene_1383	60	66	56	66	96	62	48	73	74	62
Gene_1384	617	603	504	635	587	525	580	609	580	672
Gene_1385	1677	1698	1706	1557	1797	1778	1558	1592	1715	1746
Gene_1386	3621	5387	7896	6671	6791	4541	10750	3708	4790	5777
Gene_1387	1507	1201	1223	1532	1326	1301	1625	1597	1183	1338
Gene_1388	348	197	449	268	478	302	476	579	375	503
Gene_1389	699	636	764	702	657	711	838	801	649	678
Gene_1390	118	139	122	118	117	101	105	140	142	134
Gene_1391	278	377	375	468	366	305	341	371	356	296
Gene_1392	2380	2739	2905	2401	2756	2403	2785	2649	2677	3305
Gene_1393	502	771	636	465	610	777	612	620	849	523
Gene_1394	123	126	129	131	119	133	123	153	137	155
Gene_1395	808	650	734	753	611	795	518	604	595	743
Gene_1396	440	497	483	495	403	484	464	534	438	427
Gene_1397	234	127	132	136	214	157	120	205	187	161
Gene_1398	812	1045	954	875	939	949	1044	1086	784	963
Gene_1399	3526	3972	3994	4003	3269	3733	3818	3215	3751	3693
Gene_1400	341	309	213	343	278	402	315	362	266	297
Gene_1401	213	170	204	202	196	145	272	187	210	260
Gene_1402	96	111	90	98	92	83	126	141	114	77
Gene_1403	13	34	19	26	22	18	9	12	7	24
Gene_1404	3201	4031	3030	3705	3465	3114	3100	2039	3255	2743
Gene_1405	18	35	25	31	37	30	25	20	28	24
Gene_1406	364	373	530	437	383	413	456	319	556	522
Gene_1407	175	150	150	136	169	201	195	134	171	130
Gene_1408	920	924	852	860	902	948	959	898	874	952
Gene_1409	1681	1670	1695	1548	1650	1780	1579	1670	1752	1537
Gene_1410	9	5	2	4	4	7	4	2	0	5
Gene_1411	621	459	475	526	448	492	523	500	432	492
Gene_1412	677	655	799	740	1086	936	1036	795	996	837
Gene_1413	4	7	3	10	7	5	11	4	7	3
Gene_1414	852	994	910	976	1001	850	952	942	945	857
Gene_1415	408	378	428	425	417	345	423	356	394	350
Gene_1416	70	76	46	80	83	79	65	93	66	75
Gene_1417	5	5	6	4	2	6	4	3	1	4
Gene_1418	6	3	11	7	2	0	9	3	5	4
Gene_1419	21	40	31	47	27	45	20	36	39	23
Gene_1420	852	776	876	855	828	782	830	771	810	853
Gene_1421	591	529	543	598	619	579	554	572	483	568
Gene_1422	208	193	196	209	188	184	218	222	252	199
Gene_1423	124	106	90	88	97	88	118	94	88	100
Gene_1424	244	306	228	240	263	261	193	218	227	213
Gene_1425	926	1090	890	1009	886	898	783	1182	991	971
Gene_1426	654	694	780	775	906	834	689	803	720	731
Gene_1427	2	3	1	1	2	4	2	3	2	2
Gene_1428	44	51	54	49	42	52	29	48	63	66
Gene_1429	64	65	62	67	67	58	54	58	75	65
Gene_1430	2649	3401	2829	2081	2564	2161	2416	2179	2349	1668
Gene_1431	3897	5612	4953	4625	4929	4295	4519	4425	5518	4605
Gene_1432	242	400	233	247	284	331	418	307	336	309
Gene_1433	10	27	20	28	11	18	13	15	17	27
Gene_1434	50	52	54	39	44	35	32	51	49	50
Gene_1435	414	596	702	453	391	468	542	610	583	634
Gene_1436	245	254	290	302	277	280	269	254	248	251
Gene_1437	604	531	557	533	621	687	481	556	672	576
Gene_1438	504	657	507	549	624	521	516	513	557	515
Gene_1439	54	51	51	45	15	46	55	47	41	32
Gene_1440	215	155	182	189	133	275	172	172	149	170
Gene_1441	489	484	522	306	491	529	663	484	718	600
Gene_1442	1018	1002	1185	957	1197	923	1234	921	1239	895
Gene_1443	852	881	823	876	645	805	718	801	878	882
Gene_1444	449	388	338	367	429	408	401	368	414	348
Gene_1445	551	552	517	449	671	497	586	588	451	595
Gene_1446	2093	1830	1844	1878	2005	1872	1993	1677	1926	1770
Gene_1447	1767	1486	1400	1215	1521	1292	1769	1264	1413	1346
Gene_1448	350	276	310	279	273	243	284	346	312	349
Gene_1449	3	4	5	5	4	5	3	2	6	4
Gene_1450	294	275	295	281	309	280	244	261	318	283
Gene_1451	553	574	587	569	551	529	634	541	575	527
Gene_1452	4539	4074	4169	4617	4661	4035	4069	3758	4129	4069
Gene_1453	505	496	527	513	563	538	469	532	472	457
Gene_1454	182	205	239	184	218	223	213	204	220	144
Gene_1455	1570	1484	1714	1625	1554	1385	1947	1876	1659	1570
Gene_1456	342	671	487	596	511	613	692	627	447	547
Gene_1457	427	387	424	360	400	409	396	420	409	404
Gene_1458	1643	1604	1626	1566	1604	1618	1516	1587	1544	1626
Gene_1459	1042	1155	1028	1227	1064	817	1226	1329	1170	1435
Gene_1460	269	354	313	294	299	335	313	354	318	327
Gene_1461	729	671	707	878	731	814	428	813	799	602
Gene_1462	3711	3273	5235	4540	3934	4353	3952	4495	4448	4432
Gene_1463	2041	1784	1842	1959	2027	1739	1760	1739	1975	1973
Gene_1464	13	11	6	11	7	11	14	14	11	8
Gene_1465	322	295	549	439	258	398	444	530	368	351
Gene_1466	524	621	655	615	768	539	495	421	768	551
Gene_1467	1608	2319	1917	1525	2410	2379	1710	1193	2725	1647
Gene_1468	855	528	550	455	568	683	755	492	774	429
Gene_1469	120	92	133	128	112	128	135	108	138	127
Gene_1470	15	21	18	18	22	28	14	18	26	13
Gene_1471	640	736	703	689	795	668	782	633	832	677
Gene_1472	2122	1625	1881	1958	1832	1500	1776	1812	1771	2064
Gene_1473	253	219	227	205	213	208	197	226	212	240
Gene_1474	306	297	237	317	245	327	273	196	253	377
Gene_1475	834	872	886	839	877	814	810	873	861	893
Gene_1476	1179	1496	1398	1497	1416	1685	1526	1468	1523	1600
Gene_1477	723	674	708	787	808	793	802	772	611	771
Gene_1478	339	302	312	337	342	368	332	320	319	375
Gene_1479	1113	1064	1083	1113	1104	923	1278	1171	1268	980
Gene_1480	44	26	21	29	35	36	27	26	23	26
Gene_1481	4052	4174	3439	3538	3484	3578	3860	3437	4439	3818
Gene_1482	273	298	258	224	297	259	289	287	215	280
Gene_1483	794	540	707	633	701	843	777	718	616	695
Gene_1484	9	13	14	12	8	10	17	15	11	10
Gene_1485	930	1241	1053	1061	1184	944	1115	1213	993	1017
Gene_1486	63	24	86	41	52	33	53	34	14	52
Gene_1487	2819	3747	3740	3804	2738	3918	3984	3595	3739	4180
Gene_1488	69	65	49	54	53	72	48	57	58	72
Gene_1489	830	659	771	666	704	833	771	814	735	611
Gene_1490	157	145	201	90	133	125	194	140	98	109
Gene_1491	25	19	29	24	27	26	21	22	25	26
Gene_1492	2451	2530	2479	2527	2279	2042	2533	2451	2388	2276
Gene_1493	12	12	21	12	10	10	21	23	18	18
Gene_1494	11	8	13	11	8	5	6	5	11	7
Gene_1495	617	612	665	625	695	779	612	753	673	763
Gene_1496	323	245	296	252	230	186	288	295	275	291
Gene_1497	1846	1691	1757	1685	1659	1689	1749	1766	1865	1718
Gene_1498	3	1	1	5	2	4	1	4	4	6
Gene_1499	144	119	177	144	223	136	117	247	158	194
Gene_1500	161	171	181	150	161	210	143	141	199	211
Gene_1501	5463	5763	5721	6056	6697	4650	5168	6305	5972	5778
Gene_1502	2189	2342	2075	2297	2251	2100	2124	2263	2165	2206
Gene_1503	796	789	851	913	987	926	903	941	923	874
Gene_1504	137	126	156	98	149	107	113	137	86	132
Gene_1505	610	572	576	561	577	510	611	555	470	583
Gene_1506	330	292	318	304	312	300	327	248	331	309
Gene_1507	31	35	44	51	26	19	12	25	25	18
Gene_1508	2500	2505	2762	2491	2500	2051	2991	2440	2685	2569
Gene_1509	926	857	878	1010	952	849	902	968	752	893
Gene_1510	365	437	617	543	609	471	415	403	545	512
Gene_1511	67	73	80	56	67	97	123	78	104	94
Gene_1512	246	252	275	239	242	239	182	220	220	248
Gene_1513	435	361	485	508	313	325	422	451	471	458
Gene_1514	42	24	36	33	35	30	19	31	32	31
Gene_1515	587	900	780	740	680	890	679	611	597	585
Gene_1516	6413	5251	5721	7811	4706	6364	5938	6038	6116	5303
Gene_1517	115	155	72	119	187	63	92	133	222	178
Gene_1518	34	38	43	39	44	38	43	46	33	42
Gene_1519	990	883	1018	1039	1035	863	804	960	924	1059
Gene_1520	6	1	1	5	8	0	6	2	2	0
Gene_1521	280	357	508	486	420	502	514	417	340	375
Gene_1522	1270	1063	1130	1252	1278	1094	1167	868	1277	989
Gene_1523	214	195	191	192	180	226	200	195	197	189
Gene_1524	600	508	475	422	501	467	487	551	524	554
Gene_1525	433	403	428	398	340	364	447	404	378	426
Gene_1526	1780	2025	1692	2127	1788	1945	1994	1554	1989	2150
Gene_1527	293	277	291	283	310	296	297	321	309	277
Gene_1528	42	39	32	20	25	24	11	33	25	25
Gene_1529	10	9	18	18	9	7	29	11	22	11
Gene_1530	1029	1039	1122	1097	1087	879	1054	1107	1306	1103
Gene_1531	45	53	46	69	77	83	60	84	58	79
Gene_1532	7893	9471	8706	12451	11292	8859	8967	10659	8605	9195
Gene_1533	41	40	29	40	31	30	25	46	34	30
Gene_1534	701	661	595	701	568	559	620	700	656	599
Gene_1535	119	187	51	219	124	246	110	113	143	160
Gene_1536	7322	8037	8082	7812	9070	7282	7731	6880	7471	8322
Gene_1537	75	79	79	118	77	82	83	73	67	84
Gene_1538	1035	1227	1245	1124	1075	992	1234	1112	1130	1160
Gene_1539	1061	797	792	535	826	1197	843	941	1136	1217
Gene_1540	217	180	183	189	207	201	191	215	188	187
Gene_1541	15	16	14	21	14	22	16	18	10	17
Gene_1542	277	283	289	244	302	227	211	189	299	281
Gene_1543	4	11	11	9	5	9	5	11	13	4
Gene_1544	82	26	39	21	52	62	23	20	41	39
Gene_1545	3250	3070	3245	3285	3367	3151	3496	3203	3172	3223
Gene_1546	273	349	358	271	302	394	266	298	298	272
Gene_1547	13	12	10	14	15	12	8	12	10	9
Gene_1548	160	181	178	222	245	185	158	183	197	194
Gene_1549	62	64	70	104	100	84	89	74	104	66
Gene_1550	510	490	478	448	501	474	440	481	501	550
Gene_1551	15	15	20	24	17	18	14	14	29	16
Gene_1552	347	243	463	467	660	311	333	384	601	395
Gene_1553	1412	1423	1305	1239	1223	1579	1518	1423	1569	1332
Gene_1554	596	606	639	599	585	654	639	661	608	621
Gene_1555	102	112	92	102	108	99	126	151	116	101
Gene_1556	5536	5385	5724	6108	6079	6038	6287	6122	5464	5867
Gene_1557	2213	2369	2279	2423	2214	2231	2604	2187	2493	2237
Gene_1558	1424	1327	1166	1433	1374	1513	1301	1341	1113	1257
Gene_1559	55	58	37	53	49	44	61	47	54	41
Gene_1560	850	753	809	852	790	784	860	725	828	844
Gene_1561	1373	1815	1359	1580	1773	1775	1859	1611	1740	1822
Gene_1562	81	110	199	128	146	120	177	134	94	104
Gene_1563	468	615	503	572	503	520	502	452	461	458
Gene_1564	358	432	364	429	465	354	328	520	396	395
Gene_1565	1516	1513	1526	1833	1457	1636	1735	1599	1773	1383
Gene_1566	197	288	204	213	244	253	146	235	123	191
Gene_1567	153	173	146	146	94	118	109	105	97	102
Gene_1568	436	451	370	422	357	416	362	412	433	376
Gene_1569	957	1190	1010	1120	1280	1199	1198	733	870	1345
Gene_1570	831	980	799	931	947	821	874	975	832	845
Gene_1571	451	420	442	411	425	365	458	395	324	354
Gene_1572	887	893	910	902	899	922	900	889	931	905
Gene_1573	89	92	114	109	103	95	108	96	88	110
Gene_1574	42	34	50	33	42	31	27	38	41	28
Gene_1575	174	149	160	136	224	157	146	143	151	131
Gene_1576	1024	1111	1139	1117	1138	1124	1114	962	1171	1199
Gene_1577	167	233	195	185	155	158	128	206	155	169
Gene_1578	167	181	121	102	124	129	103	144	195	128
Gene_1579	465	355	404	480	545	439	433	437	563	588
Gene_1580	158	176	151	133	152	127	203	148	164	156
Gene_1581	1691	1624	1391	1694	1522	1914	1675	1470	1701	1472
Gene_1582	1492	1462	1668	1643	1674	1781	1646	1565	1583	1792
Gene_1583	57	42	54	39	43	54	41	70	44	49
Gene_1584	711	538	573	626	690	634	616	643	692	668
Gene_1585	218	245	237	241	242	244	216	243	256	240
Gene_1586	1070	1011	954	957	1042	1097	996	846	891	937
Gene_1587	313	309	239	359	314	286	283	329	275	340
Gene_1588	643	763	676	765	775	553	649	636	605	734
Gene_1589	287	471	373	322	304	367	257	304	325	360
Gene_1590	164	217	228	226	209	215	327	209	230	185
Gene_1591	25	20	38	33	24	33	39	16	22	30
Gene_1592	718	623	640	762	525	685	647	556	506	603
Gene_1593	1409	1282	1237	1317	1291	1290	1281	1206	1143	1255
Gene_1594	2508	2584	2596	2743	2338	2715	2766	2629	2473	2711
Gene_1595	962	875	937	766	1025	881	908	799	953	708
Gene_1596	92	86	101	95	69	81	95	103	102	101
Gene_1597	162	227	225	246	190	189	206	203	190	180
Gene_1598	2	7	6	4	7	5	9	7	6	2
Gene_1599	935	979	1076	862	881	1030	923	1095	1044	1094
Gene_1600	555	550	698	506	690	640	748	867	708	792
Gene_1601	186	162	226	136	177	190	119	206	191	163
Gene_1602	1289	1550	1098	1197	1195	1324	1414	1538	1449	1351
Gene_1603	966	1063	1950	1167	2105	862	1276	904	1711	1627
Gene_1604	235	182	186	252	238	226	185	326	219	218
Gene_1605	405	485	468	384	499	422	451	392	369	494
Gene_1606	769	725	714	815	764	787	791	822	751	730
Gene_1607	8	3	3	6	4	4	4	7	5	3
Gene_1608	152	121	127	127	116	107	90	108	140	129
Gene_1609	1753	1745	1447	1715	1391	1981	1647	2056	1582	1821
Gene_1610	631	571	548	577	564	470	720	743	621	640
Gene_1611	742	810	626	814	893	825	729	799	701	733
Gene_1612	437	411	371	395	349	372	422	443	373	424
Gene_1613	4666	2903	4208	3689	2639	4138	5192	4742	2411	6117
Gene_1614	276	317	354	284	281	337	284	280	281	341
Gene_1615	341	329	382	336	339	312	325	268	328	320
Gene_1616	2438	1904	2553	2217	2582	1844	1936	1867	2683	2637
Gene_1617	22	18	28	38	16	22	16	14	18	30
Gene_1618	486	500	459	468	475	469	486	527	496	471
Gene_1619	440	432	504	439	378	470	568	441	537	456
Gene_1620	627	620	575	550	601	708	580	596	627	523
Gene_1621	2423	2260	2407	2348	2518	2564	2076	2351	2236	1794
Gene_1622	330	293	290	368	440	299	332	396	330	340
Gene_1623	481	439	575	397	370	363	452	363	374	426
Gene_1624	241	208	234	247	317	171	280	216	361	241
Gene_1625	260	235	243	244	242	281	238	242	288	252
Gene_1626	17	22	31	6	21	17	27	32	22	5
Gene_1627	88	142	73	75	66	93	99	76	96	94
Gene_1628	86	49	39	13	50	38	50	50	34	46
Gene_1629	19	4	3	11	13	13	10	10	7	8
Gene_1630	74	54	71	92	81	76	75	78	63	73
Gene_1631	7	9	11	11	2	12	6	6	8	10
Gene_1632	2088	1850	2076	1797	1815	2342	1752	1539	1667	1867
Gene_1633	557	522	552	581	548	602	597	601	519	481
Gene_1634	47	45	30	49	58	41	77	71	44	75
Gene_1635	229	204	233	222	242	265	225	217	261	221
Gene_1636	778	832	698	795	693	779	679	671	880	767
Gene_1637	982	1141	1530	1325	1380	1290	1153	1167	1193	1268
Gene_1638	657	854	839	867	785	945	919	875	914	631
Gene_1639	486	560	497	500	520	523	311	310	561	492
Gene_1640	2508	2096	2228	2255	2300	2171	2490	2244	2303	2244
Gene_1641	373	257	313	285	267	274	362	268	296	320
Gene_1642	203	190	172	170	214	190	245	213	198	185
Gene_1643	549	525	326	433	449	324	518	596	266	396
Gene_1644	42	20	27	14	50	24	31	21	24	38
Gene_1645	1425	1528	1337	1292	1292	1335	1365	1219	1357	1404
Gene_1646	778	775	684	685	786	735	706	655	748	782
Gene_1647	55	32	40	69	89	108	60	41	50	87
Gene_1648	6106	7908	7240	8068	7797	6475	6675	6354	7072	6584
Gene_1649	322	359	247	273	309	315	233	260	310	313
Gene_1650	222	193	142	172	180	123	221	213	196	121
Gene_1651	5924	5278	5941	7349	6494	5915	5394	6341	6284	7502
Gene_1652	184	168	193	152	152	160	153	182	188	163
Gene_1653	109	158	118	214	203	145	205	145	214	149
Gene_1654	117	113	129	88	105	148	114	119	101	111
Gene_1655	86	89	104	107	87	109	119	82	77	74
Gene_1656	82	77	76	61	99	89	64	71	52	70
Gene_1657	106	105	65	104	128	52	75	109	76	115
Gene_1658	1022	1120	1293	1279	1318	1244	1218	1139	1142	1558
Gene_1659	22	9	33	27	21	20	35	24	18	35
Gene_1660	780	759	702	699	712	717	698	760	692	674
Gene_1661	415	369	506	575	324	566	380	442	309	482
Gene_1662	963	951	1024	1016	923	960	1043	1007	978	1022
Gene_1663	610	576	589	632	663	581	582	610	561	586
Gene_1664	697	545	545	610	543	637	623	616	517	580
Gene_1665	1352	1214	1371	1311	1242	1171	1181	1049	1338	1273
Gene_1666	1737	1704	1705	1580	1518	1576	1657	1653	1749	1810
Gene_1667	1128	967	924	1121	855	1110	1012	879	832	943
Gene_1668	540	484	736	553	696	604	537	489	621	686
Gene_1669	894	906	843	910	972	848	909	900	960	901
Gene_1670	29	32	36	39	45	31	33	39	33	31
Gene_1671	2113	2195	1757	2016	2262	2351	2149	2170	1702	2319
Gene_1672	403	412	442	509	516	339	415	458	502	456
Gene_1673	115	105	97	127	133	143	98	85	106	99
Gene_1674	2134	1848	1817	1835	1958	1861	1967	1931	1775	1758
Gene_1675	1492	1292	1587	1506	1336	1576	1635	1766	1545	1366
Gene_1676	695	593	633	515	692	608	544	654	628	460
Gene_1677	44	47	65	66	56	56	66	51	44	52
Gene_1678	867	902	913	957	895	856	873	913	980	1071
Gene_1679	425	460	485	463	455	449	444	405	404	468
Gene_1680	466	612	503	556	643	540	412	486	694	641
Gene_1681	516	550	499	511	512	492	533	508	531	486
Gene_1682	160	180	115	89	172	110	105	225	169	150
Gene_1683	766	757	570	635	567	748	665	713	550	646
Gene_1684	308	300	323	285	359	313	366	316	238	295
Gene_1685	531	450	458	492	515	508	443	480	460	525
Gene_1686	16	5	14	11	14	16	6	10	9	11
Gene_1687	357	290	366	343	317	275	384	401	400	377
Gene_1688	1374	1134	1421	1860	1628	1270	1395	1895	1197	1507
Gene_1689	834	751	919	1085	1033	971	834	902	879	1003
Gene_1690	667	882	858	914	966	1082	990	1187	1156	701
Gene_1691	149	139	164	137	100	130	116	130	173	141
Gene_1692	109	78	106	119	74	78	105	111	132	122
Gene_1693	1791	2062	2282	2109	1973	2325	2372	2044	1955	1912
Gene_1694	2099	2199	1862	2237	2614	2524	2211	2627	1775	2900
Gene_1695	855	868	866	1012	885	980	716	978	1075	1007
Gene_1696	43	29	52	32	33	29	44	25	18	29
Gene_1697	279	336	336	432	259	371	323	282	252	261
Gene_1698	174	163	177	144	143	92	141	213	108	152
Gene_1699	1425	1836	1373	2206	1881	1709	1679	1445	1644	1777
Gene_1700	30	31	33	41	21	48	76	22	25	42
Gene_1701	939	875	892	792	872	836	656	991	775	1014
Gene_1702	3	2	0	4	1	2	4	2	5	0
Gene_1703	1050	968	1058	1077	1120	1094	1100	1083	982	997
Gene_1704	562	534	589	654	637	616	603	560	552	546
Gene_1705	6102	6476	6083	6053	5312	5680	6392	6304	6595	5717
Gene_1706	4	7	6	9	0	2	8	7	7	5
Gene_1707	581	629	713	799	589	592	667	646	647	638
Gene_1708	443	420	423	416	411	474	424	421	422	415
Gene_1709	11	14	16	14	14	12	11	7	21	16
Gene_1710	65	67	63	77	80	53	62	52	80	66
Gene_1711	542	605	537	530	482	464	305	600	541	566
Gene_1712	108	109	130	110	80	102	102	79	86	60
Gene_1713	93	126	118	106	89	109	128	132	109	100
Gene_1714	325	271	376	312	306	324	289	375	366	319
Gene_1715	354	329	448	371	373	341	386	344	374	404
Gene_1716	122	119	139	113	115	134	110	109	122	111
Gene_1717	894	850	817	754	827	859	824	905	950	841
Gene_1718	42	27	38	27	37	19	15	25	42	26
Gene_1719	955	964	950	932	1049	860	866	896	807	989
Gene_1720	228	412	426	276	214	270	393	360	259	245
Gene_1721	55	48	47	41	55	42	59	56	61	52
Gene_1722	3592	3691	2950	3024	2622	3051	3306	3892	4034	2602
Gene_1723	895	570	780	890	1165	798	731	725	892	876
Gene_1724	4302	3234	2455	3427	3497	3115	3599	3860	3439	3273
Gene_1725	246	240	220	270	316	262	262	208	304	272
Gene_1726	1517	1409	1469	1308	1424	1576	1365	1409	1582	1709
Gene_1727	1199	1073	1233	1369	1190	1191	1278	1322	1117	1193
Gene_1728	7	7	21	12	22	9	8	17	16	12
Gene_1729	971	994	977	919	977	1157	1099	1162	1134	1022
Gene_1730	525	536	542	499	603	495	502	565	474	468
Gene_1731	3523	3481	3507	3472	3528	3528	3118	3515	3526	3360
Gene_1732	511	382	367	353	283	369	297	347	421	394
Gene_1733	210	212	209	208	241	207	177	183	210	209
Gene_1734	3115	2886	2635	2613	2429	2644	3002	2972	3093	2773
Gene_1735	733	893	901	785	853	911	890	1033	816	850
Gene_1736	410	418	382	338	434	432	391	406	419	386
Gene_1737	63	81	96	80	94	70	55	76	92	93
Gene_1738	51	42	82	59	28	67	48	48	28	58
Gene_1739	55	38	55	33	65	31	35	42	42	28
Gene_1740	739	496	511	792	417	777	460	534	576	520
Gene_1741	15	28	18	8	14	8	9	5	15	15
Gene_1742	1428	1230	1364	1439	1443	1473	1358	1510	1306	1249
Gene_1743	361	223	355	324	398	200	341	206	277	459
Gene_1744	12	18	14	7	10	3	6	14	11	28
Gene_1745	115	111	100	119	108	120	101	121	112	118
Gene_1746	515	405	554	568	498	555	503	596	585	597
Gene_1747	16	23	27	24	17	27	17	14	23	22
Gene_1748	510	379	357	313	373	366	312	303	276	409
Gene_1749	865	719	794	623	714	789	701	735	718	944
Gene_1750	201	209	168	203	249	235	234	218	275	198
Gene_1751	36	18	41	24	43	28	40	23	46	39
Gene_1752	1009	1018	1268	1065	919	918	987	977	1012	1020
Gene_1753	6	6	4	2	2	3	2	1	6	8
Gene_1754	30	11	16	23	13	20	21	13	17	20
Gene_1755	2542	2484	2423	2162	2582	2317	2246	2327	2183	2285
Gene_1756	277	313	294	326	293	329	296	336	375	433
Gene_1757	7	1	6	11	4	7	4	6	8	7
Gene_1758	721	661	585	557	630	695	654	584	578	759
Gene_1759	20	12	20	18	16	26	22	22	21	24
Gene_1760	881	768	925	747	688	714	1142	797	931	981
Gene_1761	91	118	64	101	100	100	90	92	79	105
Gene_1762	134	78	56	117	100	117	101	98	159	80
Gene_1763	67	49	76	78	70	65	88	80	63	59
Gene_1764	97	63	73	45	72	73	81	83	77	61
Gene_1765	780	775	715	672	695	620	751	764	551	546
Gene_1766	565	680	575	686	555	588	644	596	574	603
Gene_1767	495	359	703	452	346	216	629	468	463	630
Gene_1768	621	679	675	482	608	907	567	671	568	647
Gene_1769	20	19	20	22	17	22	20	22	17	20
Gene_1770	8	6	11	6	8	12	9	5	13	10
Gene_1771	667	723	609	566	690	587	596	544	780	723
Gene_1772	7233	6605	6839	6308	6681	6870	6109	5927	6166	6076
Gene_1773	13	17	15	19	25	14	32	15	19	11
Gene_1774	5022	6023	5751	6864	7886	4998	6488	6189	5944	8145
Gene_1775	679	789	749	965	1108	620	734	1034	932	812
Gene_1776	463	397	453	417	404	419	449	428	474	423
Gene_1777	350	329	459	419	386	445	438	431	436	392
Gene_1778	14	19	29	22	12	18	16	17	22	20
Gene_1779	305	321	361	358	358	314	303	355	469	362
Gene_1780	13	4	4	13	11	7	4	6	10	15
Gene_1781	607	763	930	821	1212	689	836	573	989	1010
Gene_1782	7	9	13	6	3	7	2	12	16	24
Gene_1783	628	626	646	705	605	596	585	678	763	553
Gene_1784	3	3	2	2	3	4	2	1	1	1
Gene_1785	2281	2363	2453	2185	2338	2470	2429	2673	2286	2396
Gene_1786	1413	1265	1189	1273	1474	1304	1189	1141	1430	1341
Gene_1787	1699	1406	1433	1628	1038	1038	1606	1421	1224	1464
Gene_1788	147	185	192	129	180	139	167	184	175	193
Gene_1789	59	68	82	84	50	60	75	60	57	66
Gene_1790	4	4	0	5	10	3	2	2	7	1
Gene_1791	983	1152	1169	1064	1088	1008	1172	999	983	972
Gene_1792	214	257	218	244	279	258	201	231	248	188
Gene_1793	15	26	25	13	24	22	25	23	28	23
Gene_1794	1444	1169	1230	1387	1280	1218	1287	1144	1396	1357
Gene_1795	575	460	555	635	653	500	515	581	548	498
Gene_1796	257	266	250	291	233	229	247	266	200	276
Gene_1797	72	62	95	80	58	153	48	94	87	95
Gene_1798	7	5	8	3	7	10	5	6	7	9
Gene_1799	634	679	649	568	665	509	646	533	685	726
Gene_1800	64	80	50	71	57	91	53	50	56	71
Gene_1801	3455	1984	2409	2620	2799	3089	3382	3168	2611	3037
Gene_1802	1468	1343	1183	1247	1269	1268	1383	1521	1449	1397
Gene_1803	1005	955	787	1101	931	1299	991	998	1087	1092
Gene_1804	478	427	494	494	460	428	368	435	489	427
Gene_1805	202	165	248	222	235	165	271	359	221	264
Gene_1806	418	343	346	409	334	334	332	384	375	447
Gene_1807	549	455	445	487	470	592	520	440	587	395
Gene_1808	637	643	778	572	726	723	592	615	578	589
Gene_1809	175	250	195	206	180	196	207	214	187	193
Gene_1810	1081	1103	934	779	869	1183	821	997	983	770
Gene_1811	18	7	32	20	15	22	15	14	8	7
Gene_1812	311	292	222	292	274	313	291	312	297	317
Gene_1813	87	71	48	79	89	70	70	98	64	85
Gene_1814	16	13	21	20	4	7	16	21	7	16
Gene_1815	1446	1232	1697	1405	1136	1870	1734	1283	1018	1557
Gene_1816	1948	1615	1611	1860	1681	1767	1504	1820	1637	1566
Gene_1817	251	195	246	303	141	201	238	188	217	185
Gene_1818	1122	1009	1177	1418	1074	1016	1231	1081	752	1516
Gene_1819	801	739	853	780	739	627	642	771	837	1009
Gene_1820	307	304	310	287	276	286	251	260	262	325
Gene_1821	1216	1435	1170	1528	1364	1535	1187	1454	1358	1582
Gene_1822	51	41	24	43	52	37	44	49	50	52
Gene_1823	796	1284	1093	839	856	1055	805	1237	869	842
Gene_1824	28	41	20	35	23	26	29	49	23	42
Gene_1825	769	778	641	584	730	770	644	665	694	566
Gene_1826	73	97	124	60	103	60	58	81	75	76
Gene_1827	29	24	14	45	30	22	26	31	51	20
Gene_1828	713	642	791	746	480	897	655	558	603	744
Gene_1829	3331	2633	3361	2632	3089	2897	3101	2729	3038	3116
Gene_1830	787	559	677	763	817	595	575	544	603	583
Gene_1831	1	1	3	3	1	2	6	1	4	2
Gene_1832	806	718	917	969	780	748	882	791	820	731
Gene_1833	393	418	435	389	416	426	421	406	366	432
Gene_1834	399	437	441	440	394	405	389	420	441	412
Gene_1835	4292	5503	3589	4125	5125	4392	6095	3486	5293	5434
Gene_1836	982	1033	942	900	898	868	924	990	921	954
Gene_1837	2493	2594	2173	1630	2620	2068	2052	2424	2485	2316
Gene_1838	27	29	34	43	38	37	35	34	26	37
Gene_1839	863	656	806	820	801	754	855	764	818	831
Gene_1840	190	260	213	136	258	213	229	209	188	200
Gene_1841	897	845	868	938	896	875	912	945	973	966
Gene_1842	46	43	37	44	24	64	39	61	103	75
Gene_1843	437	448	413	375	366	401	340	463	354	351
Gene_1844	221	181	235	233	198	193	249	282	259	213
Gene_1845	9451	8445	8470	7831	9591	8572	10222	10089	10098	10811
Gene_1846	292	305	400	169	254	265	379	316	314	282
Gene_1847	23	18	15	27	24	15	16	13	18	22
Gene_1848	225	161	199	145	177	176	188	188	208	130
Gene_1849	2383	2324	2606	2530	2713	2292	2550	2594	2247	2635
Gene_1850	612	737	553	758	591	527	679	871	815	693
Gene_1851	321	294	251	250	277	240	297	302	299	296
Gene_1852	1513	1611	1319	1514	1498	1565	1518	1320	1502	1391
